item_name,price
1/2 pound ground beef,2
1/2 (28 ounce) jar spaghetti sauce,1
ground black pepper to taste,0.05
salt to taste,0.05
2 tablespoons vinegar,0.1
"1/2 cup butter, melted",0.5
"1/2 cup spinach, rinsed and thinly sliced",0.1
8 cups water,0
2 cups dry lentils,1.89
1 (14.5 ounce) can crushed tomatoes,4.2
"1/2 onion, chopped",1
1 teaspoon dried basil,0.15
"1 clove garlic, minced",0.5
2 teaspoons dried basil (optional),0.3
2 teaspoons dried oregano (optional),0.3
1 bay leaf,0.2
1 teaspoon dried oregano,0.15
"2 cloves garlic, minced",0.5
"2 stalks celery, chopped",0.8
1 teaspoon salt,0.15
1 pound beef stew meat,2
1 teaspoon black pepper,0.15
2 cups dried malfada noodles,6
1 cup shredded mozzarella cheese,1.55
salt and ground black pepper to taste,0.1
1/2 cup chopped Spanish onion,1
1 teaspoon chopped fresh ginger,0.25
"2 carrots, diced",0.75
1/4 cup olive oil',0.1
"1 onion, chopped",1
1 pint strawberries,6.89
3 kiwis,3
"2 bananas, peeled and diced",1
1 (21 ounce) can peach pie filling,4.55
"2 apples, peeled and cored",1.5
"1 (20 ounce) can pineapple chunks, juice reserved",1.19
2 cups chopped red potatoes,1.2
1 (12 ounce) jar sofrito,1.99
1/2 cup pitted and halved green olives,9
"4 large skinless, boneless chicken breast halves, cut into cubes",5
"10 medium red potatoes, quartered",6
1 (8 ounce) package baby carrots,0.4
1 cup chopped celery,1.3
1 tablespoon grated Parmesan cheese,0.1
1 tablespoon dried parsley,0.05
2 tablespoons dried oregano,0.1
1/4 cup balsamic vinegar,0.15
3/4 cup extra virgin olive oil,1.15
1 (.7 ounce) package dry Italian-style salad dressing mix,1.2
"3 tomatoes, chopped",3
"1 green bell pepper, chopped",1.5
"1 red bell pepper, diced",1.5
"1 (6 ounce) can black olives, drained and chopped",2
"1/2 pound Asiago cheese, diced",3.2
"1/4 pound pepperoni sausage, chopped",4
"1/4 pound Genoa salami, chopped",3.25
1 pound seashell pasta,1.2
"1/4 bunch fresh spinach, tough stems removed",1.25
1 cup heavy cream,0.25
"6 potatoes, thinly sliced",3.25
5 (13.75 ounce) cans chicken broth,6.25
1 tablespoon minced garlic,0.25
"1 large onion, diced",1.19
"4 slices bacon, cut into 1/2 inch pieces",2.25
1 1/4 teaspoons crushed red pepper flakes,0.1
1 pound bulk mild Italian sausage,6
2 ounces goat cheese,1.3
1/2 cup extra-virgin olive oil,0.15
1/2 cup frozen orange juice concentrate,0.25
1 (10 ounce) package mixed baby salad greens,1.99
3 tablespoons maple syrup,0.3
1/3 cup chopped walnuts,3.25
"4 medium beets - scrubbed, trimmed and cut in half",2
2 (26 ounce) cans condensed cream of chicken soup,1.88
6 cubes chicken bouillon,0.75
2 teaspoons garlic salt,0.4
1 teaspoon celery salt,0.2
1 tablespoon ground black pepper,0.5
1 (16 ounce) bag frozen mixed vegetables,1.69
1 tablespoon olive oil,0.3
salt and pepper to taste,0.1
"1 fresh jalapeno peppers, diced",0.2
1 tablespoon curry powder,1.5
1 (14.5 ounce) can diced tomatoes with juice,1.19
"1 onion, sliced and quartered",1
1 cup beef broth,0.35
"2 cloves garlic, minced (optional)",0.5
"2 large sweet potatoes, peeled and diced",1
"2 large carrots, peeled and diced",2
"1 dash hot pepper sauce (such as Tabasco®), or to taste (optional)",0.15
1 teaspoon liquid smoke flavoring,0.25
1/4 cup chili powder,0.3
2 cups water,0
1 (14.5 ounce) can fire-roasted diced tomatoes,1.19
"3 (15.5 ounce) cans kidney beans, rinsed and drained",3.99
1 tablespoon ground cumin,0.15
"3 cloves garlic, chopped",1
1 1/2 pounds ground beef,4.89
"1 large yellow onion, chopped",1
"1/2 pound thick-cut bacon, chopped",4.99
"1 pinch cayenne pepper, or to taste (optional)",0.1
"2 large russet potatoes, quartered and thinly sliced",2
"2 carrots, chopped",2
4 cups chicken broth,1.5
1/2 teaspoon minced garlic,0.15
2 tablespoons vegetable oil,0.15
"1 pinch seasoned salt, or to taste",0.1
"2 skinless, boneless chicken breasts, diced",1.89
"1/2 teaspoon salt, or to taste",0.1
"1/2 teaspoon ground black pepper, or to taste",0.1
1/4 teaspoon garlic powder,0.1
"1/4 teaspoon dried thyme leaves, crushed",0.15
"1/4 teaspoon dried marjoram leaves, crushed",0.3
1 cup chopped onion,1.19
1 meaty ham bone,5.99
1 pound dried split peas,3.99
"1/2 cup balsamic vinaigrette salad dressing, or to taste",0.15
"1 (15 ounce) can garbanzo beans, drained and rinsed",1
"2 pounds skinless, boneless chicken breast halves, cut into 2-inch pieces",1.89
½ teaspoon ground cumin,0.15
½ teaspoon ground turmeric,0.15
¼ teaspoon ground cinnamon,0.15
½ teaspoon ground black pepper,0.15
1 teaspoon dried parsley,0.3
1 cup white sugar,0.25
1 egg,0.1
"3 medium apples - peeled, cored and thinly sliced",4.5
1/2 cup chopped walnuts,3
1 cup all-purpose flour,0.25
1/4 cup chopped walnuts,1.5
"1 Asian pear, cored and sliced",1.19
1 (10 ounce) bag fresh spinach leaves,1.99
1 tablespoon chopped fresh parsley,0.05
"1 pound pork tenderloin, cut into 1 inch cubes",2.89
½ cup grated Parmesan cheese,0.1
"1 (14 ounce) can artichoke hearts, drained and chopped",2.99
"1 (6 ounce) can black olives, drained and sliced",1.99
"4 zucchini, cut into 1 1/2-inch sticks",2
"6 tablespoons olive oil, divided",0.3
"2 skinless, boneless chicken breast halves",2
1/3 cup chopped fresh cilantro,0.05
1/3 cup finely chopped dry roasted peanuts,1
"1/3 onion, finely chopped",0.33
"1 carrot, cut into matchsticks",0.2
"1/2 head cabbage, cored and thinly sliced",0.35
"2 cooked skinless boneless chicken breast halves, shredded",2
1 tablespoon Asian (toasted) sesame oil,0.1
1 tablespoon white sugar,0.1
"3 cloves garlic, minced",0.3
3 tablespoons Asian fish sauce,0.2
1/4 teaspoon salt,0.03
2 tablespoons fresh lime juice,0.1
1 tablespoon rice vinegar,0.05
1/2 teaspoon baking powder,0.15
1/2 teaspoon baking soda,0.15
1 tablespoon finely chopped green chile peppers,0.05
1 teaspoon ground cinnamon,0.15
1 1/2 cups sour cream,0.25
1/2 teaspoon ground nutmeg (optional),0.05
1 1/2 quarts chicken stock,1.19
1 pound lean ground beef,2
"4 carrots, peeled and chopped",1.5
"2 large onions, chopped",1
"1 parsnip, peeled and chopped",0.5
"1 sweet potato, peeled and chopped",0.5
1 cup water,0
2 (1.2 ounce) packages dry brown gravy mix,1.6
2 envelopes onion gravy mix,1.6
2 packets beef bouillon,2
1 teaspoon ground black pepper,0.15
1 teaspoon oregano,0.15
2 quarts vegetable broth,2.5
2 cups sliced fresh button mushrooms,2
"1 ounce dried shiitake mushrooms, torn into pieces",2.5
3/4 cup uncooked pearl barley,2
3/4 cup dry lentils,2
1/4 cup dried onion flakes,1
2 teaspoons minced garlic,0.5
2 teaspoons dried summer savory,0.3
3 bay leaves,0.15
1 cup apple cider,0.3
"4 cloves garlic, minced",0.4
"1 Granny Smith apple - peeled, cored, and cubed",0.25
1 teaspoon dried thyme,0.2
2 teaspoons curry powder,0.2
"6 carrots, chopped",1.25
"1 pound andouille sausage, sliced",4
"6 stalks celery, chopped",1.25
"1 large onion, chopped",1.19
"8 strips bacon, chopped",4.25
"1 (3 pound) butternut squash - peeled, seeded, and cubed",1.99
"6 tablespoons poppy seed salad dressing (such as Kraft®), or to taste",1
1/4 cup unsalted butter,0.25
1 cup shredded Monterey Jack cheese,0.35
2 pounds chicken breast tenderloins,2.99
2 teaspoons ground black pepper,0.3
"1 pound skinless, boneless chicken breast halves - cut into 1 inch cubes",2.5
1 fresh pineapple,1.99
1 (12 fluid ounce) can or bottle beer,1.29
3 sprigs fresh thyme,0.3
1/2 teaspoon black pepper',0.1
"1 (16 ounce) package dry lentils, rinsed",1.99
1/2 pound sweet Italian sausage,3.89
1/2 teaspoon dried oregano,0.1
2 tablespoons water,0
1/4 teaspoon ground white pepper,0.1
1 large egg,0.2
1/4 cup Italian bread crumbs,1.25
"8 skinless, boneless chicken breast halves - cut into 1 inch cubes",4.49
"2 tablespoons margarine, softened",0.2
2 pounds chicken drumsticks,2.29
1/3 cup chicken broth,0.35
"2 tablespoons minced Thai chilies, Serrano, or other hot pepper",0.2
1 teaspoon garam masala,0.15
"3 plum tomatoes, grated",3
1 tablespoon oyster sauce,0.2
"1 chorizo sausage link, casing removed and meat crumbled",1.19
2 tablespoons chipotle peppers in adobo sauce,0.4
4 corn tortillas,1.2
1 (24 ounce) bag small potatoes,4.19
4 chicken leg quarters,2
1 pound spaghetti,1.2
1 3/4 cups grated Pecorino Romano cheese,1.2
1 1/2 cups Greek yogurt,3.29
1 (5 pound) bone-in beef rib roast,8
"8 cloves garlic, quartered",1
1 pound bacon,2.25
1 cup graham cracker crumbs,2
1/2 cup finely chopped pecans,5
