item_name,price
1/2 pound ground beef,2
1/2 (28 ounce) jar spaghetti sauce,1
ground black pepper to taste,0.05
salt to taste,0.05
2 tablespoons vinegar,0.1
"1/2 cup butter, melted",0.5
"1/2 cup spinach, rinsed and thinly sliced",0.1
8 cups water,0
2 cups dry lentils,1.89
1 (14.5 ounce) can crushed tomatoes,4.2
"1/2 onion, chopped",1
1 teaspoon dried basil,0.15
"1 clove garlic, minced",0.5
2 teaspoons dried basil (optional),0.3
2 teaspoons dried oregano (optional),0.3
1 bay leaf,0.2
1 teaspoon dried oregano,0.15
"2 cloves garlic, minced",0.5
"2 stalks celery, chopped",0.8
1 teaspoon salt,0.15
1 pound beef stew meat,2
1 teaspoon black pepper,0.15
